# 0Wavelength	 1Intensity
790.042	191.994
790.607	192.487
791.172	195.769
791.737	192.423
792.303	190.115
792.868	194.000
793.432	190.673
793.997	191.378
794.562	195.897
795.127	194.776
795.692	190.647
796.257	191.340
796.822	193.897
797.386	195.506
797.951	192.167
798.516	193.032
799.080	193.263
799.645	190.788
800.209	189.840
