# #Voltage (V)	 Balanced Pumped	 Balanced Umpumed	 referenceDiode closed	 referenceDiode	 Diode+ Pumped	 Diode+ Unpumped	 Diode- Pumped	 Diode- Unpumped
3.050000000000000266e+00	5.848011960529109210e-01	5.851521209264251011e-01	-1.015832408995278602e-01	-1.014740248349365881e-01	1.411916140691960309e-01	1.409176785028753431e-01	1.908083254831102402e-02	1.901100586362926975e-02
3.100000000000000089e+00	6.091081131670177395e-01	6.125332114560995134e-01	-1.015528036356625752e-01	-1.009100402387336781e-01	1.410806074997152937e-01	1.412506982110230680e-01	1.878004067498323382e-02	1.887851420500237867e-02
3.150000000000000355e+00	6.208605161910062398e-01	6.266275021434632997e-01	-1.021382733590210923e-01	-1.011553287775087823e-01	1.415085199212112455e-01	1.418415396298293996e-01	1.888388548868640340e-02	1.914170709410744492e-02
3.200000000000000178e+00	6.335779639287232312e-01	6.361185892009432186e-01	-1.014131503070304224e-01	-1.008079858823221764e-01	1.411253682140801713e-01	1.409767626442110233e-01	1.874065126348182717e-02	1.876213639774405514e-02
3.250000000000000000e+00	6.454753945732170095e-01	6.487124985062385774e-01	-1.018661284112793580e-01	-1.008581178467394257e-01	1.414136272083296175e-01	1.415872987764046909e-01	1.977730896964342844e-02	1.996709431844158680e-02
3.300000000000000266e+00	6.428595712195595002e-01	6.504313149799175742e-01	-1.016315824361035819e-01	-1.011034063859836546e-01	1.417018862030905157e-01	1.417591799167167155e-01	1.947472666771320193e-02	1.955350549244199571e-02
3.350000000000000089e+00	6.156127563944017167e-01	6.173476862777388385e-01	-1.018339007197152368e-01	-1.006916081084118508e-01	1.412578599248986988e-01	1.414046750651561379e-01	1.887314292151895043e-02	1.931358816446648516e-02
3.400000000000000355e+00	6.087034751852201664e-01	6.139691388905293978e-01	-1.018249485831057566e-01	-1.009548009212589831e-01	1.411396916415065261e-01	1.412041470691713374e-01	1.902891014167745407e-02	1.934044458174242337e-02
3.450000000000000178e+00	5.989474056196594232e-01	6.058405725476566639e-01	-1.020702371219203708e-01	-1.010210467302677106e-01	1.403411605140269525e-01	1.405595927956762303e-01	1.883196308195115437e-02	1.900921543560371921e-02
3.500000000000000000e+00	6.215444616052321347e-01	6.236679153122166586e-01	-1.018768709747182311e-01	-1.009798669029724483e-01	1.406330003652677962e-01	1.409105167883902276e-01	1.865292030073434013e-02	1.877466939193799672e-02
3.550000000000000266e+00	6.307848880529584035e-01	6.325484649944269622e-01	-1.017837687563173110e-01	-1.010407414308824581e-01	1.408836603601532067e-01	1.410000382155563170e-01	1.854907548721261915e-02	1.875855554163875435e-02
3.600000000000000089e+00	6.264108592822141830e-01	6.275262994120532900e-01	-1.019359550755111338e-01	-1.011571192046936962e-01	1.411916140690797072e-01	1.412453269254388688e-01	1.904323356401944195e-02	1.922227634607959201e-02
3.650000000000000355e+00	6.181533811703601167e-01	6.183592809152903547e-01	-1.015778696172557199e-01	-1.009118306655325814e-01	1.413975133512532234e-01	1.414404836363837847e-01	1.930821688104554512e-02	1.924734233546977757e-02
3.700000000000000178e+00	6.104885368192222161e-01	6.172814406000269871e-01	-1.021078360953782266e-01	-1.010246275851062886e-01	1.413115727809891586e-01	1.413026206386436279e-01	1.909336554292576441e-02	1.903965270830087000e-02
3.750000000000000000e+00	6.136504420213714228e-01	6.150953214806225144e-01	-1.019789253302777615e-01	-1.011463766406774240e-01	1.407601207918214303e-01	1.408478517894347359e-01	1.874065126326499367e-02	1.893938875091369031e-02
3.800000000000000266e+00	5.972590277977960493e-01	5.988936926762490343e-01	-1.018911943933858283e-01	-1.009279445110155965e-01	1.405166225108941402e-01	1.407243122206714159e-01	1.855623719864417376e-02	1.865112987289596624e-02
3.850000000000000089e+00	6.126298949479268563e-01	6.163719004871339724e-01	-1.016262111545676861e-01	-1.010228371567450517e-01	1.411647576412164151e-01	1.411629672126118451e-01	1.926703704095259276e-02	1.928494131964469949e-02
3.900000000000000355e+00	6.251647178439185826e-01	6.267313469765074530e-01	-1.017604931996650280e-01	-1.008778125466942566e-01	1.416069934908954775e-01	1.416248977764203998e-01	1.911306024939295189e-02	1.937804356628656383e-02
3.950000000000000178e+00	5.927077475807707163e-01	6.031799899734928694e-01	-1.021203690859344704e-01	-1.009028785291058300e-01	1.403769690855491692e-01	1.404897660821414762e-01	1.844344024659161016e-02	1.853296163698019833e-02
4.000000000000000000e+00	5.795212094992797658e-01	5.855478061509341581e-01	-1.018392720021166209e-01	-1.008599082744104092e-01	1.398935533810960197e-01	1.398899725240556058e-01	1.823396019249416342e-02	1.846492538004023548e-02
4.049999999999999822e+00	6.074501720202066801e-01	6.108233477400624167e-01	-1.017658644833205200e-01	-1.010353701481760819e-01	1.408550135044414620e-01	1.409337923591977293e-01	1.863322559443928925e-02	1.883196308175365610e-02
4.100000000000000533e+00	6.364534010388954721e-01	6.352520198325759537e-01	-1.018231581565691296e-01	-1.009422679300713555e-01	1.410913500711185320e-01	1.410644936432279561e-01	1.893401746726037713e-02	1.888209506097305451e-02
4.150000000000000355e+00	6.743604622175640717e-01	6.772126231970144739e-01	-1.016494867094105969e-01	-1.010890829675300112e-01	1.420259537706730912e-01	1.420098399131155820e-01	1.979342282009107640e-02	1.994739961262443143e-02
4.200000000000000178e+00	6.780863557848554324e-01	6.808865941906326880e-01	-1.017211038009071256e-01	-1.008992976745885783e-01	1.413652856378795619e-01	1.414440644930184954e-01	1.949442137441102091e-02	1.954634378095171723e-02
4.250000000000000000e+00	6.620619721526859180e-01	6.652167159937842911e-01	-1.019825061851646480e-01	-1.007632252002820528e-01	1.418397492011461425e-01	1.418701864865562490e-01	1.937088185457403258e-02	1.944249896753036042e-02
4.299999999999999822e+00	6.688298116291958584e-01	6.746415601978190679e-01	-1.017085708102313940e-01	-1.010389510028442545e-01	1.413348483528893418e-01	1.414745017788791304e-01	1.909157511542220950e-02	1.915065923304436202e-02
4.350000000000000533e+00	6.782904646410850003e-01	6.805106029396855716e-01	-1.020791892584680394e-01	-1.009189923748323725e-01	1.416929340604170529e-01	1.420563910556183196e-01	1.951948736374311405e-02	1.954813420877577271e-02
4.400000000000000355e+00	6.877922982594735224e-01	6.929021973780921106e-01	-1.020791892583380739e-01	-1.007918720366857424e-01	1.420170016271784796e-01	1.422425956236494649e-01	2.026072448128848555e-02	2.039321614069391705e-02
4.450000000000000178e+00	6.920123511651671278e-01	6.982323197716900909e-01	-1.018374815749125556e-01	-1.007793390459682387e-01	1.416947244892262647e-01	1.419167376285456195e-01	2.036635972290425783e-02	2.058837277297752635e-02
4.500000000000000000e+00	6.773469058601533366e-01	6.798857412093771702e-01	-1.018786614015771835e-01	-1.010747595491713891e-01	1.416607063465425420e-01	1.417770842023703959e-01	2.036456929518216247e-02	2.053465993840114870e-02
4.549999999999999822e+00	6.661137243310061296e-01	6.709837044177459076e-01	-1.019377455023712797e-01	-1.010228371572760991e-01	1.410591223572546238e-01	1.414906156352128963e-01	2.027862875974521112e-02	2.051854608799763557e-02
4.600000000000000533e+00	6.601336747733264065e-01	6.651970216044112982e-01	-1.018428528567524721e-01	-1.007865007545745012e-01	1.419686600567420520e-01	1.420366963412846018e-01	2.062955261332543450e-02	2.063134304078236003e-02
4.650000000000000355e+00	6.248012601067332028e-01	6.281028191497426416e-01	-1.019216316566621677e-01	-1.013719704793158982e-01	1.407726537911834497e-01	1.407887676480431838e-01	2.012107111139554635e-02	2.001901672569652776e-02
4.700000000000000178e+00	6.319110706231297891e-01	6.351642879913870221e-01	-1.017246846543182898e-01	-1.009010881021494277e-01	1.410197329297060986e-01	1.413778186367622147e-01	2.005124442632941900e-02	2.012644239468776644e-02
4.750000000000000000e+00	6.191810897765266386e-01	6.217772180167292495e-01	-1.019270029391276394e-01	-1.008205188736514130e-01	1.409713913588860335e-01	1.410841883572335753e-01	1.999574116390853348e-02	2.003692100370087215e-02
4.800000000000000711e+00	6.394344721080398308e-01	6.477725214537273235e-01	-1.017658644835451875e-01	-1.009691243389433390e-01	1.410340563575774309e-01	1.410519606429197215e-01	2.017120309021148972e-02	2.025535319782399701e-02
4.850000000000000533e+00	6.816797569639891918e-01	6.857153954754022784e-01	-1.017533314924056603e-01	-1.010658074123895883e-01	1.420868283407028532e-01	1.421136847684248139e-01	2.062060047398003512e-02	2.068684630336723590e-02
4.900000000000000355e+00	6.651468894961569678e-01	6.718717589034303161e-01	-1.017533314922563908e-01	-1.009870286115702592e-01	1.412524886392839962e-01	1.411540150697656038e-01	2.040216827944957637e-02	2.018194565707812083e-02
4.950000000000000178e+00	6.515378026872012951e-01	6.561642834232105370e-01	-1.018213677289309671e-01	-1.009189923750970219e-01	1.413062014957790768e-01	1.411379012132069621e-01	2.057763020654460734e-02	2.061164833486793524e-02
5.000000000000000000e+00	6.562162058886348293e-01	6.600710100902655864e-01	-1.019610210572372555e-01	-1.010622265580619905e-01	1.407887676473696670e-01	1.410662840723237998e-01	1.940489998309118114e-02	1.968241629550347704e-02
5.049999999999999822e+00	6.618381680244758147e-01	6.670053601164066537e-01	-1.019968296033041538e-01	-1.011087776680728856e-01	1.415711849198587058e-01	1.414977773495240398e-01	1.993307618981506740e-02	1.977014725856276328e-02
5.000000000000000000e+00	6.669462753738260030e-01	6.707813847399533014e-01	-1.017927208923929822e-01	-1.010353701486044198e-01	1.414870347783387383e-01	1.417663416321026382e-01	1.996709431900578480e-02	2.016583180764666000e-02
4.950000000000000178e+00	6.496381528216493839e-01	6.540229246613838976e-01	-1.019180508018920350e-01	-1.010103041664904139e-01	1.410251042145562461e-01	1.410447989296213511e-01	1.985250693825854271e-02	1.985429736590428249e-02
4.900000000000000355e+00	6.386251960781267334e-01	6.444208292360800172e-01	-1.014507492797097760e-01	-1.009118306660323205e-01	1.399257810945009062e-01	1.398183553825602388e-01	1.901100586416670096e-02	1.889283762782360473e-02
4.850000000000000533e+00	6.531384505617285896e-01	6.578848898724655170e-01	-1.016262111545073177e-01	-1.012573831328605622e-01	1.403501126569330071e-01	1.403143040864106295e-01	1.821068463056089645e-02	1.802268971042638238e-02
4.800000000000000711e+00	6.576020015885239989e-01	6.627530794290014127e-01	-1.018535954200734950e-01	-1.011803947590312891e-01	1.401567463749041620e-01	1.405184129392067494e-01	1.841300297330176333e-02	1.858667447142417148e-02
4.750000000000000888e+00	6.603807548025204532e-01	6.641299229444179719e-01	-1.018124155927545155e-01	-1.010783404033819000e-01	1.406473237933672515e-01	1.406974557926707892e-01	1.853296163675527755e-02	1.872990869684972373e-02
4.700000000000001066e+00	6.642087022521975248e-01	6.723694999500485769e-01	-1.015921930354815178e-01	-1.012000894591122829e-01	1.410841883570272681e-01	1.409266306452983952e-01	1.913991666609832915e-02	1.909336554332512897e-02
4.650000000000001243e+00	6.497688544681636813e-01	6.570684522087877344e-01	-1.018177868737815128e-01	-1.010443222852985268e-01	1.403930829418761905e-01	1.408532230749573178e-01	1.840584126226470565e-02	1.863143516678846326e-02
4.600000000000001421e+00	6.477367120014103641e-01	6.511260028877036143e-01	-1.018607571296300668e-01	-1.011338436498873672e-01	1.403912925135633039e-01	1.404414245118098259e-01	1.855265634317680018e-02	1.849894350862680073e-02
4.550000000000001599e+00	6.756370412819663329e-01	6.814953416601402525e-01	-1.017622836282612853e-01	-1.011911373232470268e-01	1.415729753487487697e-01	1.415980413474683952e-01	2.215320669631399425e-02	2.197953519644207585e-02
4.500000000000001776e+00	6.517061041059619697e-01	6.570541290910855148e-01	-1.020057817385896654e-01	-1.009386870750114407e-01	1.414118367803123832e-01	1.415980413478907241e-01	2.179691155846441922e-02	2.183630097041961565e-02
4.450000000000001954e+00	6.429311886868471770e-01	6.447341552799533693e-01	-1.017264750831337328e-01	-1.012555927054415994e-01	1.406473237932473197e-01	1.408514326469702815e-01	2.247906456077883655e-02	2.250592097842920095e-02
4.400000000000002132e+00	6.426250245116238435e-01	6.480768946292683186e-01	-1.020917222501396548e-01	-1.010837116855756723e-01	1.409248402168764291e-01	1.411647576408140980e-01	2.101449459724691327e-02	2.105746486561528921e-02
4.350000000000002309e+00	6.842633530093115146e-01	6.890008419331350442e-01	-1.015563844903322466e-01	-1.011195202314538188e-01	1.414852443503359369e-01	1.414297410653347353e-01	2.088737422532792321e-02	2.044513855214382878e-02
4.300000000000002487e+00	6.758751691979838494e-01	6.783531296885335626e-01	-1.017282655097386107e-01	-1.009082498113803572e-01	1.407081983637716860e-01	1.408944029314186108e-01	2.218543439689247415e-02	2.227853664409381110e-02
4.250000000000002665e+00	6.720901918734519809e-01	6.776799269072942833e-01	-1.018321102927651628e-01	-1.011803947595600606e-01	1.412327939257641274e-01	1.413599143521457879e-01	2.199564904982193037e-02	2.186315738994957375e-02
4.200000000000002842e+00	6.701726374482748216e-01	6.752646314958052898e-01	-1.019073082389805041e-01	-1.009530104928569594e-01	1.407225217935687556e-01	1.409678105022807160e-01	1.999753159245125020e-02	2.003334015001553489e-02
4.150000000000003020e+00	6.488754282444832988e-01	6.514912517582415186e-01	-1.019019369567620847e-01	-1.009476392120628035e-01	1.411199969277673605e-01	1.415353763493283901e-01	2.192045107932915488e-02	2.209591300593123989e-02
4.100000000000003197e+00	6.616806095793102971e-01	6.656571629038261495e-01	-1.020559137032952673e-01	-1.012412692870113679e-01	1.415998317764816106e-01	1.418755577722839445e-01	2.268138290813507749e-02	2.290339595934475989e-02
4.050000000000003375e+00	6.402222625483767748e-01	6.442507381654245524e-01	-1.019287933662686163e-01	-1.011660713409732182e-01	1.419579174855528370e-01	1.420170016276037783e-01	1.934223500997689707e-02	1.925808490263997835e-02
4.000000000000003553e+00	6.388364675080000499e-01	6.431388787107114036e-01	-1.017300559375390046e-01	-1.013773417613245270e-01	1.419400131999098147e-01	1.418003597736759991e-01	1.950695436904165136e-02	1.933149244269168066e-02
3.950000000000003730e+00	6.484940658464783958e-01	6.490526810300027982e-01	-1.020039913119631242e-01	-1.011660713406072748e-01	1.417036766317800178e-01	1.419131567719695008e-01	1.954455335311337111e-02	1.969673971772282692e-02
