# time (ps)	 sum signal (V)	 MOKE (V)	 field up signal (V) 	 field down signal (V)
257.0396475770925	-0.019307237737417132	-0.08137453202834602	-0.050340884882881576	0.031033647145464444
259.04229074889867	-0.002151225062152984	-0.08580139833502065	-0.04397631169858682	0.041825086636433834
261.04493392070486	0.0013434606925967763	-0.0881516053695135	-0.04340407233845836	0.04474753303105514
263.047577092511	0.003599396690636622	-0.09846486827974092	-0.04743273579455215	0.05103213248518877
265.0502202643172	0.00226577647706952	-0.09289733467164665	-0.04531577909728857	0.047581555574358086
267.05286343612335	-0.0006375357820779803	-0.08950174610448952	-0.04506964094328375	0.04443210516120577
269.0555066079295	0.01226079073130558	-0.09886589914578602	-0.04330255420724022	0.0555633449385458
271.0581497797357	0.0036259843080893722	-0.10478471788550793	-0.05057936678870928	0.05420535109679865
273.0607929515418	-0.00026853510820659676	-0.10131722484204717	-0.05079287997512688	0.050524344866920284
275.063436123348	0.02256982613347104	-0.10332801816592858	-0.04037909601622877	0.06294892214969981
277.06607929515417	-0.0055641443532060825	-0.10079936280623085	-0.053181753579718466	0.047617609226512383
279.0687224669603	0.00949042061789597	-0.10669279150788648	-0.048601185444995254	0.058091606062891224
281.0713656387665	0.006255565256680348	-0.09794499170739428	-0.045844713225356964	0.05210027848203731
283.0740088105727	-0.02377521185106564	-0.10439195374937764	-0.06408358280022164	0.040308370949156
285.0766519823788	0.013160147864306346	-0.094765123059311	-0.040802487597502324	0.05396263546180867
287.07929515418505	0.00244847045143623	-0.09435825128248823	-0.045954890415526	0.04840336086696223
289.0819383259912	-0.008889028682855168	-0.09266851645893788	-0.050778772570896524	0.041889743888041356
291.0845814977973	0.001846418249604867	-0.09802435090449603	-0.04808896632744558	0.04993538457705045
293.08722466960353	-8.885545668059491e-05	-0.09963573736507668	-0.04986229641087864	0.04977344095419804
295.0898678414097	0.001521923978325082	-0.09912512940101766	-0.04880160271134629	0.05032352668967137
297.09251101321587	-1.7555165905611125e-05	-0.11134284737989171	-0.05568020127289866	0.05566264610699305
299.095154185022	0.004598857281686755	-0.10766063472424804	-0.05153088872128064	0.0561297460029674
