# 0T(K)  1F(mJ/cm²)  2delay(ps)  3strainCOM(permille)  4STDrelative(%)  5Integralrelative(%)  6strainFit(permille)  7widthFit(%)  8areaFit(%)
3.000000000000000000e+02 3.000000000000000000e+02 2.000000000000000000e+01 3.351533731561943119e-01 3.128185358706280006e+00 1.336676159071275682e+00 5.865768938436660696e-01 -5.830015998797863919e-01 9.540883376740418864e-01
3.000000000000000000e+02 3.000000000000000000e+02 2.100000000000000000e+01 1.228820762833185698e-01 -4.547713552973424167e-01 2.647333320892579500e-02 2.249920975425108161e-01 2.585920456933811229e-01 3.566154137745065067e-01
3.000000000000000000e+02 3.000000000000000000e+02 2.200000000000000000e+01 1.564500704955832100e-01 -1.602706336417263122e+00 1.133089744387266062e+00 2.652031844504391667e-01 1.483615148025059449e+00 2.248448892895188678e+00
3.000000000000000000e+02 3.000000000000000000e+02 2.300000000000000000e+01 3.175000136473632439e-01 1.557348178324148735e+00 -1.656047942431717823e+00 3.219699223896656526e-01 1.977199335989858753e+00 -1.282448524772291432e+00
3.000000000000000000e+02 3.000000000000000000e+02 2.400000000000000000e+01 2.002933341798277533e-01 -1.336197816879367117e+00 3.523112613006748051e-01 2.180032624787890116e-01 -8.439264251050010435e-01 1.876939757999818159e-01
3.000000000000000000e+02 3.000000000000000000e+02 2.500000000000000000e+01 -1.142395854567409136e-01 7.969419434966860116e-01 9.541071904006783733e-01 3.943192022875181141e-02 1.386132411542916998e+00 1.190305973207588908e+00
3.000000000000000000e+02 3.000000000000000000e+02 2.600000000000000000e+01 1.598118379223444352e-01 -2.064050785399308641e+00 1.644995467680713253e-01 4.783369432789972286e-01 -7.674187538059805691e-01 8.287770270684848839e-01
3.000000000000000000e+02 3.000000000000000000e+02 2.700000000000000000e+01 3.099089743566006416e-01 -1.140449978469776138e+00 -1.408358083175583753e+00 4.056087706382576763e-01 2.879057535360741160e-01 -1.273419297662702343e+00
3.000000000000000000e+02 3.000000000000000000e+02 2.800000000000000000e+01 4.846614188319565142e-01 -3.272694431408355586e-01 1.498058898042793130e+00 6.552247790599573518e-01 -3.430870759862698072e-01 1.715409414156142009e+00
3.000000000000000000e+02 3.000000000000000000e+02 2.900000000000000000e+01 1.477642184782139712e-01 5.735063293903350790e-01 2.240881650286569826e+00 1.067869289693430396e-01 -8.169581644008933052e-01 1.839128755974525742e+00
3.000000000000000000e+02 3.000000000000000000e+02 3.000000000000000000e+01 -2.934560451181803531e-01 -3.298814642075840187e+00 -1.531976447271977237e+00 -2.466080540126919241e-01 -1.517372632473633187e+00 -7.982742079489281162e-01
3.000000000000000000e+02 3.000000000000000000e+02 3.100000000000000000e+01 -5.947849325916697572e-01 9.471898125396903678e-01 1.472640805968693067e+00 -5.948869663781664041e-01 -1.934590393514106221e+00 7.324289943924657820e-01
3.000000000000000000e+02 3.000000000000000000e+02 3.200000000000000000e+01 -9.944166291361965226e-02 2.906115005413004493e+00 -3.353844699375093108e-01 1.240732522266612819e-01 7.146460638245276664e-01 -8.870150018533220493e-01
3.000000000000000000e+02 3.000000000000000000e+02 3.300000000000000000e+01 2.205600668788546825e-01 3.147113405446454237e+00 -3.625986989908825953e-01 3.001852931597113749e-01 -5.052951595319408185e-01 -1.473512050054557543e+00
3.000000000000000000e+02 3.000000000000000000e+02 3.400000000000000000e+01 5.401607960456759061e-01 -9.834977907595611191e-01 -1.200807176952892075e+00 4.986734730731774423e-01 -1.206755480144653836e+00 -9.631939052908852217e-01
3.000000000000000000e+02 3.000000000000000000e+02 3.500000000000000000e+01 1.956328090866390756e-01 3.863452052123813596e-01 -6.432439337590054595e-01 3.434696879902423006e-01 9.847125413584950637e-01 -5.732839695201047414e-01
3.000000000000000000e+02 3.000000000000000000e+02 3.600000000000000000e+01 1.926481438512788746e-01 2.392123931310911722e+00 1.481388349017982442e+00 4.658748349493306851e-01 1.136696257391939247e+00 1.164017286096531434e+00
3.000000000000000000e+02 3.000000000000000000e+02 3.700000000000000000e+01 4.738325339256935775e-01 2.887407965909671859e+00 1.157803491491175674e+00 6.962023242032736592e-01 3.279994726884964074e+00 1.396815178945195024e+00
3.000000000000000000e+02 3.000000000000000000e+02 3.800000000000000000e+01 3.036061662305422626e-01 7.512305622815930173e-01 3.883616951707444254e-01 3.546394570559817105e-01 9.903057353884131553e-01 6.168810673422558954e-01
3.000000000000000000e+02 3.000000000000000000e+02 3.900000000000000000e+01 2.310577841104219377e-01 -2.376456042906245791e+00 1.116558226160504486e+00 3.457656930317544175e-01 -7.044091723286284301e-01 1.831481258840828685e+00
3.000000000000000000e+02 3.000000000000000000e+02 4.000000000000000000e+01 1.840295892427135094e-01 -1.071202658519476936e+00 4.109938530837489723e-01 2.823175316133013646e-01 2.085303997669726517e+00 1.010693525158205208e+00
3.000000000000000000e+02 3.000000000000000000e+02 4.100000000000000000e+01 2.873104356457443220e-01 3.407391626253976069e-01 -1.323075310618385902e+00 4.097668486211820116e-01 -1.053799191010829528e+00 -1.470294883011588505e+00
3.000000000000000000e+02 3.000000000000000000e+02 4.200000000000000000e+01 8.969346851780603258e-02 -1.897084331044679717e-01 1.600529350304633391e+00 3.029624811451297473e-01 -1.425197914573703324e-02 1.881861127307996817e+00
3.000000000000000000e+02 3.000000000000000000e+02 4.300000000000000000e+01 -3.078693677370645046e-02 -2.291625267241941821e-01 2.479032092193501402e+00 2.190249630831951622e-01 -1.670483386127508130e+00 2.099034439057110735e+00
3.000000000000000000e+02 3.000000000000000000e+02 4.400000000000000000e+01 4.341136939170764930e-01 4.686655788927483357e+00 -1.750394475981318643e-01 1.715090320736915308e-01 4.734863179834868929e-01 -6.943739851351168335e-01
3.000000000000000000e+02 3.000000000000000000e+02 4.500000000000000000e+01 2.720145002405435775e-01 1.670238510980190050e+00 -1.120526808855821788e+00 3.971688994515529814e-01 -1.413211229888172493e+00 -1.581021410357541956e+00
3.000000000000000000e+02 3.000000000000000000e+02 4.600000000000000000e+01 -2.335868779741659129e-01 -1.043769148171720174e+00 -5.025331126521288549e-01 -4.446325358529849142e-02 -1.878624731597733355e+00 -8.491704654744731684e-01
3.000000000000000000e+02 3.000000000000000000e+02 4.700000000000000000e+01 -9.172192664185994937e-02 -7.160754004109441961e-01 -8.471575832962707775e-01 -4.536859619344510430e-02 3.199852282991717534e-01 -6.758994448236649299e-01
3.000000000000000000e+02 3.000000000000000000e+02 4.800000000000000000e+01 6.997257285748278433e-01 -7.471059005940011710e-01 -5.032550825555687224e-01 5.951757594310389532e-01 -3.084317136993841579e+00 -8.571343380710746418e-01
3.000000000000000000e+02 3.000000000000000000e+02 4.900000000000000000e+01 5.781064163446784088e-01 1.013501314466395353e+00 -2.989351593732698098e-01 6.537647448731845889e-01 -1.422445260998057126e+00 -1.080765942549437364e+00
3.000000000000000000e+02 3.000000000000000000e+02 5.000000000000000000e+01 3.058594596305428404e-01 9.341677994908269556e-01 -8.670134039354533417e-01 3.731702990510664120e-01 -2.025453389689377381e+00 -1.529938889062503193e+00
3.000000000000000000e+02 3.000000000000000000e+02 5.100000000000000000e+01 3.406085072072814052e-02 -4.626958079077816977e-01 4.732549630261518869e-01 6.375179137499066562e-02 2.328952238074962627e-02 9.244951711854224596e-01
3.000000000000000000e+02 3.000000000000000000e+02 5.200000000000000000e+01 5.042171926498001389e-03 5.426965160818695288e-01 1.334130803502170393e+00 -4.106510768246906390e-02 3.680519749067655333e+00 1.997098400235314264e+00
3.000000000000000000e+02 3.000000000000000000e+02 5.300000000000000000e+01 7.271469953892110982e-02 -1.325154424069327486e-01 9.062348207163861691e-01 2.914194867761839558e-01 6.203751331973347133e-02 1.048816326385767272e+00
3.000000000000000000e+02 3.000000000000000000e+02 5.400000000000000000e+01 -2.436520466341056956e-01 -6.326523361250457889e-01 1.312786820381621755e+00 -5.655940903419275773e-02 1.924281904122718961e-02 1.551604265502318558e+00
3.000000000000000000e+02 3.000000000000000000e+02 5.500000000000000000e+01 6.045477763540405697e-02 6.839179284397511882e-01 7.164948960863145588e-01 -1.484623435769159006e-01 -1.147869985101997337e+00 2.863388906646818777e-01
3.000000000000000000e+02 3.000000000000000000e+02 5.600000000000000000e+01 -8.406691042196795527e-02 1.585776879082673618e+00 7.711477740430254801e-01 4.487570984274007191e-02 2.099186635435766224e+00 1.018768979900947169e+00
3.000000000000000000e+02 3.000000000000000000e+02 5.700000000000000000e+01 1.522791655243861120e-01 1.231567739545462448e-01 -3.261830929316583000e-02 2.603064654745721254e-02 3.468337311757275221e-01 3.524001429387370044e-01
3.000000000000000000e+02 3.000000000000000000e+02 5.800000000000000000e+01 2.506269745648620484e-01 -1.338513146493750749e+00 -1.247109939153912439e+00 2.090785816851438994e-01 6.422746338723639425e-01 -3.356426921405004649e-01
3.000000000000000000e+02 3.000000000000000000e+02 5.900000000000000000e+01 4.600015280105005933e-01 -1.447540625811251314e+00 1.307648299230264266e+00 5.882566647416499483e-01 1.092520252174488782e+00 2.168240764867833903e+00
3.000000000000000000e+02 3.000000000000000000e+02 6.000000000000000000e+01 1.076491818499361874e-01 -6.478575356322157086e-01 -8.509834511594627227e-01 3.017061429413359086e-01 -5.995309830919663963e-01 -6.911940306874840845e-01
3.000000000000000000e+02 3.000000000000000000e+02 6.100000000000000000e+01 2.139075225757887944e-01 4.572696938683417089e-01 9.379671342036778325e-01 2.810300999244032538e-01 -1.593850305562330094e+00 7.273443997696606989e-01
3.000000000000000000e+02 3.000000000000000000e+02 6.200000000000000000e+01 4.083641240779443682e-01 1.059953757554909615e+00 -6.074849790850052056e-01 2.561583993852569185e-01 -5.025698911420026782e-01 -8.079549084387201985e-01
3.000000000000000000e+02 3.000000000000000000e+02 6.300000000000000000e+01 2.720829454046559959e-01 8.330442764798073885e-01 -3.217879886064269890e-01 2.654716272538210631e-01 1.354743421039025231e-01 -5.486373113500776499e-01
3.000000000000000000e+02 3.000000000000000000e+02 6.400000000000000000e+01 8.738755305540951701e-02 1.492851971117471754e-01 1.264782700559949902e+00 2.851435434066728614e-01 -1.648252727818903807e-01 1.305569608435859896e+00
3.000000000000000000e+02 3.000000000000000000e+02 6.500000000000000000e+01 1.211156949600078470e-01 -1.616315839032438140e+00 7.978720197778182976e-01 2.515601729844439971e-01 -1.038697964609026858e+00 1.223363402495444952e+00
3.000000000000000000e+02 3.000000000000000000e+02 6.600000000000000000e+01 8.048865464161111816e-02 -6.324703780100382478e-01 2.734763344527618933e+00 2.302365911603173887e-01 5.558931518515278780e-01 3.125408610160425482e+00
3.000000000000000000e+02 3.000000000000000000e+02 6.700000000000000000e+01 3.406487617816277291e-01 -5.138972263354216752e-01 1.561552781677521651e+00 3.708103580256788545e-01 -3.389572848091435553e+00 8.879891534178245838e-01
3.000000000000000000e+02 3.000000000000000000e+02 6.800000000000000000e+01 1.211943576682470575e-01 -1.935477562364822823e+00 9.397458530664213328e-01 4.736946288831421770e-01 -1.944481861048587223e+00 1.056643269328011669e+00
3.000000000000000000e+02 3.000000000000000000e+02 6.900000000000000000e+01 -1.072951748234287350e-01 -2.085770642076250958e+00 9.368707831509777428e-02 7.727695603439596606e-02 1.677510862959150417e+00 1.392349582147926146e+00
3.000000000000000000e+02 3.000000000000000000e+02 7.000000000000000000e+01 5.750202286869106338e-02 9.033324497151009602e-01 -3.156160043593967957e-01 1.418480240560328065e-01 -1.328087123614089260e-01 -7.535691889179044756e-01
3.000000000000000000e+02 3.000000000000000000e+02 7.100000000000000000e+01 3.019670377652514670e-01 8.644055832294175179e-01 5.974156503901929538e-01 4.071950083659385822e-01 -1.774635922194688797e+00 7.915172870443051845e-02
3.000000000000000000e+02 3.000000000000000000e+02 7.200000000000000000e+01 2.468025794426243757e-01 9.547941519497050722e-01 -1.737418468024460427e+00 2.003641688072012317e-01 1.202876377761137316e+00 -1.612947920178836592e+00
3.000000000000000000e+02 3.000000000000000000e+02 7.300000000000000000e+01 4.272827028989254483e-01 -1.920851539107898062e-02 1.181681905460146620e+00 7.794447804185874462e-01 -1.162677912051383711e+00 1.127555521488968315e+00
3.000000000000000000e+02 3.000000000000000000e+02 7.400000000000000000e+01 2.371943095609312102e-01 3.126564565861455480e-01 1.179743717861126973e+00 6.176790128180790207e-01 1.661103710611058437e+00 1.674161861637215143e+00
3.000000000000000000e+02 3.000000000000000000e+02 7.500000000000000000e+01 -2.705402998697697958e-02 1.865708083880110779e+00 8.855798161271695168e-01 2.248446006182580892e-01 2.496439941167233556e+00 1.085778478880371489e+00
3.000000000000000000e+02 3.000000000000000000e+02 7.600000000000000000e+01 3.295480141506140770e-01 -8.418796050422813204e-01 -2.766795291695685499e+00 5.506424142005866829e-01 -2.517432375478193318e+00 -3.282979088665276990e+00
3.000000000000000000e+02 3.000000000000000000e+02 7.700000000000000000e+01 -7.582036025807778468e-02 1.675917969788996986e+00 2.219954615053740810e+00 1.756420128614270271e-01 1.928567981657282715e+00 1.918958466654655304e+00
3.000000000000000000e+02 3.000000000000000000e+02 7.800000000000000000e+01 2.485297318451615001e-01 5.989282823834749525e-01 -7.149395955007465941e-01 1.975167801858510874e-01 2.681228180066412836e-01 -6.343919963361701608e-01
3.000000000000000000e+02 3.000000000000000000e+02 7.900000000000000000e+01 3.167736978325042529e-01 1.391806675646732439e+00 -2.213262542117123477e+00 3.927322148036109239e-01 -1.684727715436299622e+00 -2.787946963701563696e+00
3.000000000000000000e+02 3.000000000000000000e+02 8.000000000000000000e+01 8.332147371095909028e-02 -2.490613565311662558e+00 2.058909230362540477e+00 1.906872448348250204e-01 -2.090802004865941921e+00 2.490856618364386321e+00
3.000000000000000000e+02 3.000000000000000000e+02 8.200000000000000000e+01 1.475179318965572084e-01 8.700003056255711797e-01 4.828535694361584252e-01 5.377285512326197559e-01 1.083921029510599210e+00 5.605752364949936339e-01
3.000000000000000000e+02 3.000000000000000000e+02 8.400000000000000000e+01 2.783107601876719794e-01 2.672113880602990044e+00 1.582899790983474331e+00 5.641044739092161420e-01 1.558871350872950590e+00 1.498293775631662328e+00
3.000000000000000000e+02 3.000000000000000000e+02 8.600000000000000000e+01 3.402096568670641696e-01 -5.637097912536600530e-01 -2.961617335564621811e+00 3.357764664872726623e-01 -1.677232308714029285e+00 -3.276423069842892222e+00
3.000000000000000000e+02 3.000000000000000000e+02 8.800000000000000000e+01 2.615290577955411977e-01 1.052710479580672542e+00 -7.555722854597325400e-01 5.041976706620761028e-01 5.762858182482779590e-01 -8.235652482874934455e-01
3.000000000000000000e+02 3.000000000000000000e+02 9.000000000000000000e+01 2.431587321470405350e-01 -6.188640518413346392e-01 4.986686248494393014e-01 4.185383145068186095e-01 3.522367008523066279e+00 1.400704665595013054e+00
3.000000000000000000e+02 3.000000000000000000e+02 9.200000000000000000e+01 -8.019724469524615318e-02 9.256653040202307559e-02 -5.163734732355406143e-01 4.967524071236031902e-01 -2.970844321685499168e+00 -1.123813962150916890e+00
3.000000000000000000e+02 3.000000000000000000e+02 9.400000000000000000e+01 3.767895223550291051e-01 1.746779622842654867e+00 1.512101947156609505e+00 4.345940365003993500e-01 1.650190079206754756e+00 1.321432432274251001e+00
3.000000000000000000e+02 3.000000000000000000e+02 9.600000000000000000e+01 5.003517319199066726e-01 8.871723032286010779e-01 -1.389530972459929625e+00 1.805927539316267427e-01 -9.473990183835165890e-01 -1.455612020837088849e+00
3.000000000000000000e+02 3.000000000000000000e+02 9.800000000000000000e+01 2.780592511796514121e-01 7.053241506752637724e-01 1.374656208063681939e+00 6.768590056502393759e-01 -2.596647436047976321e-01 1.086907435168152913e+00
3.000000000000000000e+02 3.000000000000000000e+02 1.000000000000000000e+02 3.281023366488426962e-01 -5.532160756948292235e-01 1.230895406059413943e+00 3.854708798329323227e-01 -5.100039734571814032e-01 1.244979775081412665e+00
3.000000000000000000e+02 3.000000000000000000e+02 1.020000000000000000e+02 3.505252486289750502e-01 -1.141985131225371042e+00 1.637833402210137068e+00 4.118197480084490048e-01 -2.407494719380771198e+00 1.740873709328653263e+00
3.000000000000000000e+02 3.000000000000000000e+02 1.040000000000000000e+02 3.521130194408591541e-01 -4.720313812458928338e-01 -4.166086572182263748e-01 4.464135318477161496e-01 1.790806067959252734e-01 -3.503746745450054823e-01
3.000000000000000000e+02 3.000000000000000000e+02 1.060000000000000000e+02 3.583171461634848676e-01 1.577300580598443469e+00 1.912716370167633517e+00 3.350642692703043601e-01 1.026294000425864272e+00 1.441555735960602380e+00
3.000000000000000000e+02 3.000000000000000000e+02 1.080000000000000000e+02 -1.084592146309795169e-01 3.216952798964895499e-01 -1.239644288686889695e+00 1.249370953090746111e-01 1.815677376575678181e+00 -6.653643225299060715e-01
3.000000000000000000e+02 3.000000000000000000e+02 1.100000000000000000e+02 -2.079493089894580982e-01 1.690863319459978142e-01 -2.361421952100030808e+00 1.495547770385142750e-01 -4.468733382553540662e-02 -2.222985021147707130e+00
3.000000000000000000e+02 3.000000000000000000e+02 1.120000000000000000e+02 2.564975354619850600e-01 -1.074150295575453162e+00 8.901092611702215995e-01 2.883218479526582501e-01 -9.619451997134866872e-01 1.107612394267325939e+00
3.000000000000000000e+02 3.000000000000000000e+02 1.140000000000000000e+02 2.849897721310948873e-01 1.001483848857598780e+00 5.640468862933236682e-01 4.142265804244165683e-01 3.255802330225906482e-01 2.663031615965121279e-01
3.000000000000000000e+02 3.000000000000000000e+02 1.160000000000000000e+02 2.124500481575558597e-01 -2.003443698034390041e-01 1.717033639920323429e+00 5.807192271777579240e-01 3.802370909091830953e+00 2.715064860292290660e+00
3.000000000000000000e+02 3.000000000000000000e+02 1.180000000000000000e+02 2.806930288072775337e-01 1.338139325271378466e+00 -9.431948074757551259e-02 3.670250789857960605e-01 -7.438807739943592567e-01 -3.873042800335965707e-01
3.000000000000000000e+02 3.000000000000000000e+02 1.200000000000000000e+02 3.020432003673527155e-01 5.706745307803541278e-01 1.022143674728208218e+00 4.073949350073425846e-01 -4.281420073179511121e+00 -5.608481869165423545e-02
3.000000000000000000e+02 3.000000000000000000e+02 1.220000000000000000e+02 2.033473639645796971e-01 3.058336030699421171e-01 -8.388030020716199520e-01 2.980690678338213662e-01 1.334862847413530895e+00 -7.899012679943933080e-01
3.000000000000000000e+02 3.000000000000000000e+02 1.240000000000000000e+02 2.858546308188599783e-01 9.517919023539985757e-01 -2.497938134773539876e+00 2.961059325112946339e-01 2.371094254288350078e-01 -2.533217637890679441e+00
3.000000000000000000e+02 3.000000000000000000e+02 1.260000000000000000e+02 -2.259984062347567824e-01 1.586061163500657623e+00 -5.771185284501180179e-01 1.239959332039495404e-01 9.691948219468587977e-01 -6.545117004362412949e-01
3.000000000000000000e+02 3.000000000000000000e+02 1.280000000000000000e+02 -5.326870342532154246e-02 -3.571441035703931122e-01 -1.969710537245874304e+00 3.891794800224277623e-02 -1.493048454646808798e+00 -1.993062663810387214e+00
3.000000000000000000e+02 3.000000000000000000e+02 1.300000000000000000e+02 2.559993262454916541e-01 -2.579344548077248667e-01 -1.759300154363601099e+00 4.066643477371219006e-01 -6.931971770398461796e-01 -1.667903420873979803e+00
3.000000000000000000e+02 3.000000000000000000e+02 1.320000000000000000e+02 1.226313692746083955e-01 -1.857517971678834812e+00 1.421129575360666308e+00 3.149825208656539255e-01 2.251726175946137776e+00 2.760876176511283031e+00
3.000000000000000000e+02 3.000000000000000000e+02 1.340000000000000000e+02 1.500624364509467457e-01 -4.778782462531210307e-01 5.938298171127185388e-01 1.489490445336171809e-01 -2.438765888568907581e-01 7.685217830571984265e-01
3.000000000000000000e+02 3.000000000000000000e+02 1.360000000000000000e+02 1.972059176524223190e-01 -1.340427226743154746e-02 -1.158918091341195167e+00 2.465391342207010061e-01 3.379409837628872398e-02 -1.196232213174843295e+00
3.000000000000000000e+02 3.000000000000000000e+02 1.380000000000000000e+02 1.544477889964979700e-01 -5.935587079884930839e-01 1.774939430551355057e+00 1.813232421715863241e-01 3.090032643607212304e+00 2.865342014171189611e+00
3.000000000000000000e+02 3.000000000000000000e+02 1.400000000000000000e+02 2.809061600868340558e-01 9.711858611861767798e-01 1.797844963667918572e+00 4.715112268990164779e-01 -9.878968474782706677e-01 1.443834311781341917e+00
3.000000000000000000e+02 3.000000000000000000e+02 1.420000000000000000e+02 1.149384570122283650e-01 2.382862349301514193e+00 -7.255640062918424782e-01 4.184567138056430324e-01 8.181872018374299893e-01 -1.511303024737526535e+00
3.000000000000000000e+02 3.000000000000000000e+02 1.440000000000000000e+02 -1.475529331511859221e-01 -1.724576380424903410e-01 9.564564647796888197e-01 2.129252428653327089e-01 2.398978035464294223e+00 1.693523287022647983e+00
3.000000000000000000e+02 3.000000000000000000e+02 1.460000000000000000e+02 3.856894068030044531e-01 4.240415392362280045e-01 -2.015123231687706351e+00 5.797324197671249735e-01 1.549386918510768929e+00 -1.444491420250381131e+00
3.000000000000000000e+02 3.000000000000000000e+02 1.480000000000000000e+02 1.278056329920152778e-01 4.284343448300128032e-01 -1.806885441652399671e-01 2.424298308572355731e-01 -9.756673965660542791e-01 -5.204205681167051178e-01
