	Diodesignal	MinusDiode	PlusDiode	ReferenzDiode	chopper	StagePosition	Loops	MagneticField
73	-0.4773261727945173	0.1455617816074125	0.018383192350310208	-0.10105667623370757	0	221.31578947368425	1	5.274963703031238
74	-0.4199415607202265	0.14510011960220937	0.01807300073183342	-0.10220237065605468	1	221.84210526315792	1	5.274963703031238
75	-0.43474534682831617	0.14572775433565988	0.018446842059098547	-0.10111468607797348	0	221.84210526315792	1	5.274963703031238
76	-0.47186035739918963	0.1441075060065258	0.017564608755319688	-0.10197516543320613	1	222.3684210526316	1	5.274963703031238
77	-0.44192647979949023	0.14471096995277405	0.017997265635435314	-0.10103653392679669	0	222.3684210526316	1	5.274963703031238
78	-0.3941046277674308	0.14485921743854235	0.01807380642447437	-0.10192601820403603	1	222.8947368421053	1	5.274963703031238
79	-0.38737145930377215	0.14536035839365205	0.01849760068763347	-0.10106151038731244	0	222.8947368421053	1	5.274963703031238
80	-0.44743419119311656	0.14413973372114472	0.017608921843393216	-0.1018704254368175	1	223.42105263157896	1	5.274963703031238
81	-0.443889146103584	0.14485438328098849	0.018122147975308246	-0.101092932386229	0	223.42105263157896	1	5.274963703031238
82	-0.43127764800659696	0.14457803063210578	0.01774911234079356	-0.10197435974096324	1	223.94736842105263	1	5.274963703031238
83	-0.4263685662648403	0.14514362701581032	0.018168072448553407	-0.10117994715268082	0	223.94736842105263	1	5.274963703031238
84	-0.48021780136974745	0.14446039947593375	0.017575888450366534	-0.10215966896494225	1	224.47368421052633	1	5.274963703031238
85	-0.4265651549545902	0.14509931390853828	0.018032716106383014	-0.10127421314978906	0	224.47368421052633	1	5.274963703031238
86	-0.5281065284115823	0.14506869758005816	0.017596836455582427	-0.10193890928069545	1	225.0	1	5.274963703031238
87	-0.49397257647839427	0.14583813425801817	0.01822044246214081	-0.10117511299906184	0	225.0	1	5.274963703031238
88	-0.5224594321648273	0.14537163809346548	0.017943284237049172	-0.10194374343452291	1	227.0	1	5.274963703031238
89	-0.5062045939432217	0.14598477035781296	0.018359021574927387	-0.10135558806999644	0	227.0	1	5.274963703031238
90	-0.6007783486173254	0.14500988200105808	0.01781840189726837	-0.10200175327839736	1	229.00264317180617	1	5.274963703031238
91	-0.5020867014981626	0.14557306130774866	0.01820593999719862	-0.10135075391604127	0	229.00264317180617	1	5.274963703031238
92	-0.4843002431612916	0.14489063945906877	0.017625841386462324	-0.10200578173996588	1	231.0052863436123	1	5.274963703031238
93	-0.44666717205387435	0.14557950685217155	0.018083474735079815	-0.1010115574652729	0	231.0052863436123	1	5.274963703031238
94	-0.4819943527636282	0.1450783658942845	0.017697548020169297	-0.10201222727824293	1	233.0079295154185	1	5.274963703031238
95	-0.374895317756641	0.1458115463940348	0.018098782892499644	-0.10110985192434414	0	233.0079295154185	1	5.274963703031238
96	-0.4375233727430657	0.1445329118330013	0.01740266455997636	-0.10194454912652277	1	235.01057268722468	1	5.274963703031238
97	-0.36373164858249984	0.1451823002735599	0.017858686523092016	-0.10112999423142371	0	235.01057268722468	1	5.274963703031238
98	-0.47468591957007916	0.1448995020804034	0.017743472493334005	-0.10213952665852467	1	237.0132158590308	1	5.274963703031238
99	-0.43398960733649683	0.14548362940083323	0.01813101059297045	-0.10129193837989399	0	237.0132158590308	1	5.274963703031238
100	-0.5920655938055372	0.14499296245222948	0.017829681592438043	-0.10203075820075334	1	239.015859030837	1	5.274963703031238
101	-0.4807455297055255	0.14579543253725943	0.0183880265056044	-0.10108487546360059	0	239.015859030837	1	5.274963703031238
102	-0.5613058779542425	0.1451259017729452	0.018057692573890217	-0.10229341388370759	1	241.01850220264316	1	5.274963703031238
103	-0.4373622342355263	0.14576562190072076	0.018421059898577338	-0.10126857330362955	0	241.01850220264316	1	5.274963703031238
104	-0.6517077657256313	0.1446988845596191	0.01764517800661986	-0.10217014296475298	1	243.02114537444933	1	5.274963703031238
105	-0.5094136654985885	0.14529590296641945	0.018083474734604008	-0.10140392960690411	0	243.02114537444933	1	5.274963703031238
106	-0.6461154557680824	0.1446183152749263	0.01779906527670906	-0.10203800943125094	1	245.02378854625553	1	5.274963703031238
107	-0.49238455737832715	0.14525642401559705	0.018247030315209287	-0.10131610914798818	0	245.02378854625553	1	5.274963703031238
